id,osm_id,country_a,country_b,geom,length_km,voltage_kv,voltage_class,capacity_mw,bandwidth_mva,ac_dc,status,operator,cables,mode,power_pool,confidence_level,completeness_score,verification_sources,detection_method,source_dataset,carbon_intensity,enriched_at,created_at,commissioned_year,decommissioned_year,project_id,trade_flow_mwh,apg_phase,source_authority,source_urls,last_updated_at
192,824809666,IND,NPL,0102000020E61000004900000051267F419C2454409D6C5E3013EC3D40F6589F17932454406CD15D6D20EC3D406654747F50245440CDD88640E4EB3D400BF0DDE60D245440B7FAA01D26EA3D408CCDD8E1F9235440FB3E1C2444E93D405DE38E923224544061EA9DC02AE73D40D0FBB5AB462454404849B48938E63D408063CF9E4B245440BB5A931392E53D4089844AB700245440A86A27EF88E33D40A73B4F3CE7235440FECB5AAF8EE23D40EB538EC9E2235440EC9799E326E23D40E70C7B90D4235440EF867EB78AE13D40A301BC059223544016CE7F59EBDF3D40162708686C2354407BCF921161DF3D4008A1CDBB7B2354406DAAEE91CDDD3D407313B53437235440D98DE32C91DC3D40836E8A22FF2254408E4B66063BDB3D405B47B0CCB62254406914371378DA3D40FCEFD2976F2254408F0E59EE16DA3D4042AFE4CF5C2254404C82DCEADED93D4011FA3EC1EA2154405B8AF557D9D83D403A0D07F8A4215440B224E593BAD73D409D8EB6E07B21544091D0967329D63D40A47A21D310215440C552C9A596D43D40BBC7E3B306215440EDECD0555FD43D40AD4214DDC420544061CCF165FDD33D402529441B5B205440B8D969B5D1D23D40E256410CF41F5440AC7713D78CD13D408EE733A0DE1F5440E7EA7D99DED03D4053584EE7AF1F544040B26FDD83D03D40E340FE88951F5440993D1A9826D03D408F3523835C1F5440D9846A3986CE3D405F43705C461F5440834E081D74CD3D40348639411B1F5440B4441D0C2BCD3D4089B1F105D21E5440D6B8ED3147CD3D40EFEC86C8C41E544034B9BD4978CD3D40ACDBEA83761E5440B0B4E78DEECD3D404C6E1459EB1D5440B9E3A837FECD3D4072A197F6721D5440132A38BC20CE3D40E29178793A1D544000A94D9CDCCD3D40E0032AD2B31C54404572E8E390CD3D4082E1010A9A1C5440758181D6B2CD3D40E59CD8437B1C544075841D1032CE3D40F5053E50381C5440EEAF1EF7ADCE3D40A9554F41D91B5440579AEF3BE1CE3D4098405B18B31B544018AD48F196CE3D40A3AC8493591B5440F7A5C86B6FCD3D405D537B6C261B5440422F922C16CD3D404AE93EA5EF1A5440225A86938FCC3D4046A5C7A5601A544089B663EAAECC3D40236937FA181A5440BCB84379D5CB3D40CB19E5F4D0195440E87F5E5DBACA3D40417E3672DD1954401A8C6C42B5C83D40289600A19A195440FB96395D16C73D4015D918856E1954405217DF066BC63D408F1D54E23A195440692F473426C53D40E34F54362C195440332D5679A7C33D40ECEDE0711B1954400B3895568DC33D40DBE5B6D8C8185440A77A8DB85BC33D40397CD289841854403A5563AEB1C23D40C467A153461854402AC35D62D1C13D404E147C2EAE175440A77BF88D0AC13D408B3ACEC87B1754400377459506C13D40E90A5B585C1754409C7BFE6AC4C03D4039C5F4CE321754401DAA29C93AC03D40135C51EFCE165440AFBFDB72E4BF3D4006CAB788B9165440B3BDCC66C4BF3D40F5F1D077B71654409B83B1CFADBF3D40CDE3D5DECC16544080CC183092BF3D40751B79C5F816544037E911FEA0BF3D400EB853DF1E175440B226BB3E18BF3D40EA23F0871F175440783B0CF7DBBE3D401F42A6C61517544085871F52C2BE3D40,34.65633994402393,220,HV,100,,AC,operational,,6,Land,APG,Medium,0.6,{OSM},multi_method,OpenStreetMap,,36:34.8,10:44.9,,,,,,{OSM},{},36:34.8
7,164031246,CAN,USA,0102000020E61000000800000095C61E903AC353C09D6A8885B5924540B381CF6A5CC553C014B93BC670914540701C1DFCE9C553C0E27BDA3C699145407F40B15FC1C653C0C4DD6AE7459145408C868C47A9C953C042DF27582D8F4540E529ABE97ACA53C03CEEA53A2E8E4540E333D93F4FCB53C01EC6FF780A8D45403069E78F44CC53C07973B8567B8C4540,12.935348168651286,230,EHV,600,,AC,operational,Hydro One,6,Land,,High,0.9,"{OSM,EIA,ElectricityMaps}",multi_method,OpenStreetMap,267,42:06.0,10:44.6,,,,,,"{OSM,EIA,ElectricityMaps}",{},10:44.6
8,611062615,CAN,USA,0102000020E6100000070000002CB3AD0BE4565DC07BC26DC89A7D48406C747396FE565DC0A0DFF76F5E7D4840F08D7CB92A575DC0F5E450757E7D4840CD6CA1751E575DC0AAE3E7757A7E484083DA6FED44565DC0298B0CBCA47F4840E27327D87F565DC0D93F4F0306804840125784517F565DC03CDFAA460A804840,3.158822153889322,230,EHV,300,,AC,operational,Bonneville Power Administration,3,Land,,High,0.9,"{OSM,EIA,ElectricityMaps}",multi_method,OpenStreetMap,267,42:07.4,10:44.6,,,,,,"{OSM,EIA,ElectricityMaps}",{},10:44.6
10,178425286,CAN,USA,0102000020E61000001C00000006AD76033BB759C082058B1E53344840D33FD2F162B959C0029B73F04C34484098B1570E63B959C0121038B7AE5148400D94CACA65B959C01DD60A896A5948409A982EC4EAB859C0F5375783E65A4840CE4CD5E2F8B859C0C25FDDC204624840B32CF3B196BB59C099396E426B664840310109D42CBC59C0A6E727E66A664840D78A91802CBC59C09CD54C08676D48404F20EC142BBC59C033A6608DB36F484045532C6D27BC59C017201B92A470484039BF171527BC59C0D2E4BDC51E7748409B9F2CC60AC159C00F79701C1D7748406825ADF806C159C0ECA8C53B1B7F4840FF48C78BBBC159C03B78DCA62E80484098F67244E3C259C046ED7E15E0814840859BE7E3B5C359C0757286E28E84484036B79D1180C459C04531D4BC3E8748408EE0EB1024C559C046CC913AA6894840E26D4A1EF4C459C0D06FA994E8894840248914B996C359C0EA78CC40658A484082A6CA9C53C259C0CF0138AC5F8A4840438765D84DC259C0A8C821E2E68A4840F64B7ACE4CC259C07B9054956C8B48404512184655C259C07B4FE5B4A78B484050864FDF57C259C058CE39D3DF8C4840178A2AB20CC259C0886C7B16DF8C48405979B8D30CC259C05BE21291AB8C4840,91.40841314198094,230,EHV,200,,AC,operational,Basin Electric Power Cooperative,3,Land,,High,0.9,"{OSM,EIA,ElectricityMaps}",multi_method,OpenStreetMap,267,42:10.5,10:44.6,,,,,,"{OSM,EIA,ElectricityMaps}",{},10:44.6
4,580194652,CAN,USA,0102000020E610000003000000395E262F579E54C097755A12FB6145401FB4684B679E54C0EA9B8FC6FC6145406F5E413F789E54C09F083DF60E624540,0.1854456104796568,345,EHV,1200,,AC,operational,ITC,3,Land,,High,0.9,"{OSM,EIA,ElectricityMaps}",multi_method,OpenStreetMap,267,42:01.7,10:44.6,,,,,,"{OSM,EIA,ElectricityMaps}",{},10:44.6
5,73520405,CAN,USA,0102000020E61000000B000000DBF74D066CF250C000378B170BED4640315C1D00F1F150C09BDBCE0880ED4640489BF4087FE550C0E87981A32EF8464052860552BDDB50C04F0A4ED8D9FE46401AB3DB1D08D550C0E634554156034740E745DC52BDCD50C0CF41E1FD02044740A3320FAA9EC650C0D8DE5D1DB6044740BE4F55A181B750C08202EFE4D3054740B8A75082A3B650C06193EB5C070747404DCB59E97FB650C02C280CCA34074740009EFEFD73B650C0F3C81F0C3C074740,78.13082997423405,345,EHV,1000,,AC,operational,NB Power,3,Land,,High,0.9,"{OSM,EIA,ElectricityMaps}",multi_method,OpenStreetMap,267,42:03.1,10:44.6,,,,,,"{OSM,EIA,ElectricityMaps}",{},10:44.6
2,1169218934,CAN,USA,0102000020E61000000C00000044E6255A4DAE5EC0E97E4E417E80484013D21A834EAE5EC02A7288B83980484037B176CAD9AD5EC03F90172D9B7F4840DEF5E340D9AD5EC012FEA0890B7F48406ED5BF35C1AD5EC0046B4194D47E484047AAEFFCA2AD5EC01E17D522A27E48407B246FCAA6AC5EC08438C599157D48404D897F338CAB5EC0E585CF317B7B48409865F448A8A85EC060240F9FCF764840A2B3CC2214A75EC083161230BA7448407916CE7FD9A75EC06F8C5363F873484003154493FAA75EC072A36DA1D0734840,50,500,EHV,2850,,AC,operational,Bonneville Power Administration,3,Land,,High,0.9,"{OSM,EIA,ElectricityMaps}",multi_method,OpenStreetMap,267,41:58.9,10:44.6,,,,,,"{OSM,EIA,ElectricityMaps}",{},10:44.6
433,523423888,BRA,VEN,0102000020E6100000320000006478EC67B1914EC044094499571F12400762D9CC21924EC029498DBFA31C1240423E8D203A944EC0448F73F629121240DAD9A1ABBE964EC07FA081FD7C101240F4A386DB46974EC0FEDFC7878F0E12407D38EDCE7F974EC07F74A03D4D0C1240F928C8748D974EC0527A4BDEA50912407EEF254344974EC0702DEE9AEBFF11403B600D068D964EC0231BFE8980F9114054C72AA567954EC034F9C1548EF411404792205C01944EC0A1698995D1E8114018AA07718A924EC048A5D8D138DC11404A969350FA934EC0F618F6C5EFA71140C82E07301B944EC0A260C614ACA11140FF791A3048944EC075AF93FAB29C114072A197F672944EC03AC379DDC796114000B10001C6924EC0B653CE72348A1140C67A59C97D914EC0A69BC420B062114000E48409A38D4EC0127D8857A35811404232D3AC228A4EC085025BCA9E291140B6D1A52490854EC0F91BA32BC7021140EE05668522854EC0A1F48590F3FE1040E3BE7A81FE814EC0FFAAC88DC7C110400D068D4FB7814EC0B6E8AE3610BC1040F71CFDD41D854EC003EB387EA8841040905A176D44854EC04E8A45C2AD591040DD9D1095A1854EC019309287CF1F1040ACCEC53AB0854EC0A504B3F803F40F402024B0DE4D854EC0F1F274AE28E50F40D67F8C6FDE844EC0187AC4E8B9D50F40F2C4BD439B804EC06DD4F9A69F160F403168D773887F4EC07A88EBBD9D790E407CC2C8810D804EC0FACF9A1F7F090E4009CECFC3BF7A4EC0CC69053C1FD40C40A3D34E289F7A4EC03CB8E0B144BC0C40B4CC22145B784EC064158090766D0C40A3C9C51858764EC0ED07E1760D5F0C400ACA236E04754EC066930DB5B7150C405287CBE0DE734EC0054D4BAC8C960B40454D4FB39B714EC0F9E2E6AFEB420B40854B7D0F4D704EC098E5A1A5E1FA0A40F8AA9509BF6B4EC0BDEC8D10D40F0A4003098A1F636B4EC07CF0DAA50DE70940558A1D8D436B4EC0AB4203B16CD60940DF86BDF5066B4EC06C2CBC26FFBE094072E778BB146A4EC0396403E9625309409F61C50490694EC0E67BA1DBA6E30840C46EE9E2805D4EC09C6D6E4C4FA807404D2146BE015C4EC043A21A40098D0740686CF992D75B4EC0BA68C878948A0740,196.33932913652015,230,EHV,462,462,AC,operational,Eletronorte,3,Land,CIER,Medium,0.6,{OSM},multi_method,OpenStreetMap,,36:34.8,10:45.1,,,,,,{OSM},{},36:34.8
15,,HUN,UKR,0102000020E6100000050000004C9B966A802E384099EF53C64F36494047C7599863F93740616DAED787F848409F7705AD85CC3740DFC6B3B2A0A148406EA541A2ECD03640E77F8211E03448402E3A89D8AFF53540D4AAA24E2E114840,321.8686788936101,,,,,AC,operational,,,Land,,High,0.9500000000000001,{EnergyData.INFO},energydata_geojson,existingtransmissionline.geojson,,42:19.8,10:44.7,,,,,,"{EnergyData.INFO,'UN Comtrade'""}""",{},10:44.7
434,246660759,COL,VEN,0102000020E610000018000000A1496249B91D52C09C1A683EE72E1F40021077F52A1D52C019575C1C952B1F401A6D5512D91C52C001A5A14621291F40F6436CB0701C52C057B1F84D61251F406A334E43541C52C09204E10A28241F40B4C70BE9F01B52C057EC2FBB271F1F4072FA7ABE661B52C07FDE54A4C2181F40E223624A241852C070EEAF1EF71D1F401903EB387E1652C0AAD4EC8156201F406BB6F292FF1552C0A435069D101A1F40AE635C71711552C040FA264D83121F408448861C5B1552C0410DDFC2BA111F4075AE2825041352C029AE2AFBAEF81E4036E84B6F7F1252C0C687D9CBB6F31E4027A25F5B3F1252C0DB6B41EF8DF11E40E19BA6CF0E1252C01536035C90ED1E402E03CE52B21152C0AC00DF6DDEE81E404997A36C361052C0781F91007FE21E409C244C07211052C094675E0EBBDF1E40C8DE41A2BF0F52C09ACA47F718D91E404BF0E1ED9C0F52C003E4F0EE6DD71E40FB0D6EC6440F52C05D610B8B9BCC1E403E755199070F52C080B4A44863C11E40C6F18D32AC0E52C02E7E09CB8EBB1E40,31.165019295166942,230,EHV,760,760,AC,operational,,6,Land,CIER,Medium,0.6,{OSM},multi_method,OpenStreetMap,,36:34.8,10:45.1,,,,,,{OSM},{},36:34.8
